Order ID,Order Date,Delivery Date,Customer Name,Customer Type,Customer Age,Region,County,City,Branch,Sales Rep,Lead Source,Car Make,Car Model,Vehicle Type,Vehicle Year,Fuel Type,Transmission,Color,Units Sold,Unit Selling Price,Unit Cost,Discount,Delivery Fee,Logistics Cost,Payment Method,Payment Status,Delivery Status,Customer Rating,Review Count,Returned,Revenue Recorded
Not Provided,null,null,Daniel Mugambi,Government,53,Western,Kakamega,Kakamega,Kakamega,Grace  Njeri,Walk-In,Toyota,Hilux,PICKUP,2019,petrol,automatic,blue,null,5980000,4660000,3 %,35000,34000,ASSET FINANCING,completed,delivered,4.5,41,YES,5835600
LCL1019,null,null,Brian Njeri,Government,58,Nyanza,Kisumu,Kisumu,Kisumu,KeviN Mwangi,Referral,Isuzu,N-Series,TRUCK,2015,petrol,manual,blue,2,5980000,4954000,null,17000,31000,ASSET FINANCING,pending,delivered,3,0,NO,10183000
ORD1020,null,null,Peter Mohamed,Government,46,Coast,Mombasa,Mombasa,Mombasa,Peter Kiptoo,Facebook,Toyota,Prado Tx,SUV,null,petrol,automatic,pearl,1,6472000,5411000,0.15,93000,127000,BANK TRANSFER,partially paid,in-transit,2.2,11,NO,11188400
ORD1021,null,1/23/2025,Carol Kariuki,Car Dealer,55,Central,Kiambu,Thika,Thika,Mercy Atieno,Walk-In,Mercedes Benz,Gle,SUV,2020,petrol,automatic,green,1,12472000,10456000,5%,66000,86000,CASH,partially paid,delivered,2,37,NO,11914400
LCL1022,3/8/2025,8/28/2025,Joy Kariuki,Not Provided,24,Western,Kakamega,Kakamega,Kakamega,Faith Achieng,Whatsapp,Honda,Fit,Not Provided,2026,diesel,automatic,black,2,null,978000,3%,39000,42000,M-PESA,paid,Not Provided,null,22,YES,1213570
LC1023,4/11/2026,null,Hassan Maina,Government,42,Nairobi,Nairobi,Westlands,Nairobi,Brian Otieno,Website,Toyota,Corolla,SEDAN,2021,diesel,manual,white,1,1946000,1663000,0,120000,190000,ASSET FINANCING,refunded,at the yard,3.7,24,YES,0
LCL1024,2/23/2026,null,Hassan Kariuki,N.G.O,54,Coast,Mombasa,Mombasa,Mombasa,Kevin  Mwangi,Phone Call,Volkswagen,Tiguan,SUV,2025,petrol,automatic,pearl,1,5036000,4380000,0.1,25000,55000,BANK TRANSFER,completed,on the way,3.2,25,NO,4557400
CAR1025,4/16/2025,4/5/2025,Mary Kimani,Government,55,Central,Kiambu,Thika,Thika,DaniEl Kimani,Referral,Toyota,Prado Tx,SUV,2023,petrol,automatic,green,1,8127000,6600000,0.02,43000,65000,M-PESA,paid,in-transit,3.1,34,YES,8007460
CAR1026,10/17/2025,null,Not Provided,Corporate,null,Central,Kiambu,Thika,Thika,Faith Achieng,Phone Call,Toyota,Land Cruiser,SUV,2022,petrol,automatic,green,2,13695000,12337000,15%,86000,137000,M-PESA,paid,delivered,3.5,36,YES,23367500
ORD1027,null,null,Brian Kimani,Government,38,Central,Kiambu,Thika,Thika,Aisha Mohamed,Facebook,Toyota,Prado Tx,SUV,2020,hybrid,automatic,green,1,7937000,6868000,12%,119000,133000,BANK TRANSFER,paid,delivered,3.5,39,YES,7103560
CAR1028,1/6/2026,null,Kevin Nyambura,Corporate,121,Nyanza,Kisumu,Kisumu,Kisumu,Mercy Atieno,Whatsapp,Subaru,Impreza,SEDAN,2020,petrol,manual,black,1,1871000,1538000,50%,25000,52000,ASSET FINANCING,paid,completed,5,3,YES,480250
ORD1029,5/27/2026,6/6/2026,Not Provided,Government,50,Western,Kakamega,Kakamega,Kakamega,Brian Otieno,Website,Honda,Fit,HATCHBACK,2020,petrol,automatic,blue,7,1242000,1010000,null,155000,210000,CASH,partially paid,delivered,3.7,44,YES,8588180
ORD1030,1/12/2026,null,Linda Wafula,Government,36,Coast,Mombasa,Mombasa,Mombasa,Brian Otieno,Website,Subaru,Outback,WAGON,2020,petrol,automatic,silver,1,3931000,null,12%,50000,null,M-PESA,completed,cancelled,4,10,NO,3512280
LCL1031,1/26/2026,1/28/2026,James Kiptoo,Government,25,Rift Valley,Uasin Gishu,Eldoret,Eldoret,Mercy,Whatsapp,Honda,Fit,HATCHBACK,2026,petrol,automatic,green,3,1441000,1246000,5,29000,36000,M-PESA,paid,delivered,4.3,8,NO,4135850
Not Provided,7/10/2025,null,Kevin Chebet,Individual,43,Mombasa,Mombasa,Mombasa,Mombasa,Samuel Mutua,Whatsapp,Mazda,Axela,SEDAN,2023,diesel,automatic,silver,1,1917000,1735000,3%,35000,77000,LOAN,cancelled,cancelled,null,19,NO,1894490
ORD1033,null,null,Mercy Chebet,N.G.O,32,Eastern,Machakos,Athi River,Athi River,Samuel Mutua,Tender,Mitsubishi,Canter,TRUCK,2024,petrol,automatic,black,1,3649000,3229000,10%,154000,142000,M-PESA,completed,in-transit,5,2,NO,3438100
ORD1034,6/29/2025,7/25/2025,Daniel Kiptoo,N.G.O,46,Nyanza,Kisumu,Kisumu,Kisumu,Mary Wanjiku,Website,Toyota,Land Cruiser,SUV,2019,diesel,manual,green,3,7374000,5896000,10%,111000,108000,M-PESA,pending,delivered,4,22,NO,18914700
CAR1035,null,4/15/2025,Grace Kimani,N.G.O,56,Eastern,Machakos,Athi River,Athi River,Mary Wanjiku,Whatsapp,Toyota,Harrier,SUV,2020,diesel,automatic,green,3,4993000,3872000,7%,89000,141000,M-PESA,partially paid,delivered,4.5,41,NO,14020000
LCL1036,null,null,Faith Otieno,Individual,53,Central,Kiambu,Thika,Thika,Aisha Mohamed,Whatsapp,Nissan,X-Trail,SUV,2026,petrol,automatic,red,1,3604000,null,15%,104000,89000,CASH,pending,delivered,2.1,1,NO,3167400
ORD1020,null,1/15/2026,Mercy Mugambi,Government,50,Nyanza,Kisumu,Kisumu,Kisumu,Samuel  Mutua,Whatsapp,Subaru,Outback,WAGON,2020,hybrid,automatic,silver,1,4199000,3467000,0%,68000,73000,M-PESA,partially paid,delivered,4.7,24,YES,4267000
ORD1038,4/11/2025,null,Kevin Kimani,Government,68,Western,Kakamega,Kakamega,Kakamega,Mercy Atieno,Walk-In,Subaru,XV,CROSSOVER,2026,petrol,automatic,pearl,1,null,2388000,3 %,146000,129000,BANK TRANSFER,cancelled,cancelled,2.3,40,NO,0
CAR1039,4/5/2026,null,James Wafula,N.G.O,28,Central,Kiambu,Thika,Thika,Peter Kiptoo,Instagram,Subaru,Forester,SUV,2020,hybrid,automatic,pearl,1,3586000,2977000,12%,106000,84000,CASH,paid,delivered,3.3,33,Not Provided,611199
ORD1040,null,null,Grace Kariuki,N.G.O,25,Coast,Mombasa,Mombasa,Mombasa,Peter,Tender,Mazda,Demio,HATCHBACK,2015,petrol,automatic,green,1,1210000,961000,10%,84000,68000,ASSET FINANCING,paid,in-transit,2.7,14,YES,1173000
ORD1041,1/7/2025,1/27/2025,Victor Kiptoo,N.G.O,42,Rift Valley,Uasin Gishu,Eldoret,Eldoret,Aisha Mohamed,Phone Call,Mazda,Demio,HATCHBACK,2025,petrol,automatic,blue,3,1050000,917000,0%,157000,122000,ASSET FINANCING,partially paid,completed,4.9,35,NO,2965500
LC1042,3/11/2025,null,Brian Ochieng,Corporate,null,Eastern,Machakos,Athi River,Athi River,Daniel Kimani,Walk-In,Toyota,Harrier,SUV,2026,diesel,automatic,silver,2,4225000,null,7%,118000,130000,CASH,paid,in-transit,4.5,5,YES,7976499
ORD1043,10/18/2025,null,Daniel Otieno,N.G.O,27,Central,Kiambu,Thika,Thika,Grace Njeri,Tender,Mazda,CX5,SUV,2016,diesel,manual,blue,1,3746000,3299000,2%,31000,59000,CASH,pending,done,2.1,24,NO,3702080
CAR1044,null,6/9/2025,Faith Achieng,Retail,36,Rift Valley,Nakuru,Nakuru,Nakuru,Faith  Achieng,Facebook,Mitsubishi,Pajero,SUV,2021,diesel,automatic,green,2,4529000,3848000,2%,50000,34000,BANK TRANSFER,partially paid,delivered,4.4,38,YES,8926840
LC1045,null,null,Hassan Maina,Individual,48,Nairobi,Nairobi,Nairobi,Nairobi,Peter  Kiptoo,Referral,Toyota,Prado Tx,SUV,2020,petrol,manual,red,1,6760000,5654000,0%,70000,86000,CHEQUE,paid,done,2.5,29,YES,6830000
Not Provided,5/16/2025,6/7/2025,Faith Mwangi,N.G.O,35,Coast,Mombasa,Mombasa,Mombasa,Mary Wanjiku,Tender,Mazda,Demio,HATCHBACK,2018,diesel,automatic,silver,4,1252000,1112000,7 %,141000,131000,BANK TRANSFER,paid,delivered,null,9,NO,4798440
ORD1047,null,4/26/2026,Mercy Mohamed,Individual,54,Nyanza,Kisumu,Kisumu,Kisumu,Faith Achieng,Tender,Subaru,Impreza,SEDAN,2021,petrol,automatic,silver,1,2177000,1699000,15 %,64000,74000,ASSET FINANCING,completed,in-transit,2.2,42,NO,1914450
LCL1048,11/26/2025,12/5/2025,Brian Ochieng,Corporate,59,Nairobi,Nairobi,Nairobi,Nairobi,Mercy Atieno,Website,Mazda,Atenza,SEDAN,2025,petrol,manual,white,2,2142000,1948000,null,615000,124000,CASH,completed,at the yard,4.4,6,YES,3550200
CAR1049,9/9/2025,null,Mercy Ochieng,Government,59,Western,Kakamega,Kakamega,Kakamega,Grace Njeri,Website,Nissan,Navara,PICKUP,2017,petrol,manual,black,1,4654000,4089000,5%,134000,184000,CHEQUE,refunded,completed,4.5,2,NO,0
LC1050,3/6/2025,null,Daniel Kimani,Individual,40,Coast,Mombasa,Mombasa,Mombasa,Peter KiPtoo,Facebook,Toyota,Harrier,SUV,2025,petrol,manual,black,1,4823000,4086000,null,152000,136000,ASSET FINANCING,completed,delivered,2.8,23,NO,4733850
CAR1051,null,5/20/2026,Hassan Kimani,Car Dealer,35,Central,Kiambu,Thika,Thika,Brian Otieno,Facebook,Toyota,Harrier,SUV,2016,petrol,automatic,silver,1,4994000,4186000,5%,70000,89000,M-PESA,pending,in-transit,3.5,12,YES,4814300
ORD1052,6/21/2025,null,Peter Kiptoo,Government,23,Mombasa,Mombasa,Mombasa,Mombasa,Mary  Wanjiku,Instagram,Honda,Vezel,CROSSOVER,2021,hybrid,automatic,green,1,null,2,0.1,40000,37000,CHEQUE,paid,delivered,2.5,22,NO,2559500
ORD1053,2/6/2026,null,James Muthoni,Individual,64,Eastern,Machakos,Athi River,Athi River,Aisha Mohamed,Walk-In,Mitsubishi,Canter,TRUCK,2023,petrol,manual,white,null,null,3,0.12,71000,101000,BANK TRANSFER,paid,delivered,5,34,YES,9230000
LCL1054,12/11/2025,null,Joseph Mugambi,N.G.O,57,Nyanza,Kisumu,Kisumu,Kisumu,Mercy Atieno,Walk-In,Volkswagen,Tiguan,SUV,2019,petrol,automatic,white,1,4093000,3477000,12%,138000,104000,M-PESA,cancelled,cancelled,2.1,34,NO,0
CAR1055,8/15/2025,8/27/2025,Winnie Wanjiku,Car Dealer,57,Coast,Mombasa,Mombasa,Mombasa,Peter Kiptoo,Instagram,Subaru,Forester,SUV,2021,petrol,automatic,green,1,3889000,3176000,15,143000,139000,CHEQUE,paid,delivered,3.3,null,Not Provided,3448650
LCL1056,1/25/2025,2/6/2025,Daniel Achieng,Retail,63,Western,Kakamega,Kakamega,Kakamega,Faith Achieng,Whatsapp,Honda,Fit,HATCHBACK,2026,petrol,manual,silver,1,1337000,1123000,10%,36000,78000,CHEQUE,pending,delivered,2.5,23,YES,1332890
CAR1057,null,2/13/2025,Daniel Achieng,Car Dealer,44,Western,Kakamega,Kakamega,Kakamega,Faith Achieng,Instagram,Honda,Fit,HATCHBACK,2023,petrol,manual,red,0,1424000,1219000,0%,149000,171000,CASH,paid,delivered,4.7,18,NO,5845000
CAR1058,null,1/14/2026,Joseph Wanjiku,Individual,55,Nyanza,Kisumu,Kisumu,Kisumu,Mercy  Atieno,Tender,Isuzu,D-Max,PICKUP,2026,hybrid,automatic,black,1,4220000,3756000,2%,105000,124000,CASH,paid,delayed,4.2,37,NO,4240600
LCL1059,null,null,Peter Kimani,N.G.O,53,Western,Kakamega,Kakamega,Kakamega,Daniel Kimani,Whatsapp,Mazda,Demio,HATCHBACK,2017,diesel,automatic,white,3,1200000,921000,3%,90000,153000,ASSET FINANCING,partially paid,delivered,5,32,NO,3582000
ORD1060,null,null,Mary Mwangi,Car Dealer,33,Eastern,Machakos,Athi River,Athiriver,Faith Achieng,Tender,Nissan,X-Trail,SUV,2022,petrol,automatic,white,2,3524000,3117000,null,32000,62000,BANK TRANSFER,paid,delayed,3.5,24,NO,7080000
LCL1061,3/15/2025,null,James Kiptoo,Government,55,Eastern,Machakos,Athi River,Athi River,Peter  Kiptoo,Instagram,Mercedes Benz,Gle,SUV,null,petrol,manual,silver,1,11837000,10733000,0%,41000,60000,M-PESA,pending,at the yard,2.5,6,NO,11878000
ORD1062,2/27/2025,null,Not Provided,Car Dealer,32,Eastern,Machakos,Athi River,Athi River,Faith,Phone Call,Volkswagen,Golf,HATCHBACK,2016,diesel,manual,black,1,1944000,0,15%,104000,143000,CASH,paid,delivered,4.1,14,NO,1932040
ORD1063,1/3/2025,null,Naomi Ochieng,Individual,56,Eastern,Machakos,Athi River,Athi River,Samuel Mutua,Phone Call,Mitsubishi,Pajero,SUV,2025,petrol,automatic,green,1,5509000,4827000,3%,172000,169000,M-PESA,completed,delivered,4.3,21,YES,6070000
LCL1064,null,8/26/2025,Naomi Mwangi,Government,40,Rift Valley,Nakuru,Nakuru,Nakuru,Grace,Facebook,Toyota,Harrier,SUV,2018,diesel,automatic,blue,1,4536000,3584000,7%,23000,50000,M-PESA,completed,delivered,4.7,29,YES,4241480
LCL1065,2/15/2026,null,Daniel Achieng,Car Dealer,56,Nyanza,Kisumu,Kisumu,Kisumu,Daniel  Kimani,Tender,Honda,CR-V,SUV,2023,petrol,automatic,pearl,4,4227000,3650000,0.12,35000,23000,M-PESA,cancelled,cancelled,4.8,34,NO,0
ORD1066,3/4/2026,null,Faith Achieng,Government,23,Western,Kakamega,Kakamega,Kakamega,Daniel Kimani,Phone Call,Toyota,Fielder,WAGON,2026,diesel,manual,white,1,1965000,1712000,0%,121000,120000,LOAN,pending,delivered,3.5,42,NO,2086000
LC1067,null,null,Daniel Kimani,Individual,29,Central,Kiambu,Thika,Thika,Mercy  Atieno,Walk-In,Toyota,Corolla Altis,SEDAN,2020,petrol,automatic,silver,1,1890000,1523000,5 %,null,140000,BANK TRANSFER,pending,delayed,4.7,8,NO,1916500
ORD1068,11/7/2025,11/11/2025,Mary Maina,Government,31,Rift Valley,Uasin Gishu,Eldoret,Eldoret,Aisha  Mohamed,Facebook,Nissan,Juke,CROSSOVER,2018,diesel,automatic,pearl,1,1837000,1619000,7%,40000,0,CASH,paid,delivered,2.4,39,NO,1748410
ORD1069,2/21/2026,null,Winnie Mohamed,Car Dealer,28,Western,Kakamega,Kakamega,Kakamega,Kevin Mwangi,Facebook,Subaru,Outback,WAGON,2019,diesel,automatic,red,2,4059000,3300000,12 %,33000,83000,ASSET FINANCING,completed,delayed,4.8,23,YES,7176840
CAR1070,null,7/23/2025,Aisha Mugambi,Government,23,Rift Valley,Uasin Gishu,Eldoret,Eldoret,Daniel Kimani,Instagram,Volkswagen,Golf,HATCHBACK,2021,petrol,automatic,blue,4,1970000,null,0.12,80000,111000,CHEQUE,paid,delivered,4.7,9,NO,7014400
LCL1071,null,null,Mercy Achieng,Individual,22,Nyanza,Kisumu,Kisumu,Kisumu,Daniel,Website,Toyota,Harrier,SUV,2018,petrol,automatic,green,2,4665000,3928000,10,74000,102000,ASSET FINANCING,cancelled,cancelled,1,29,NO,5205500
ORD1072,7/8/2025,7/11/2025,Hassan Omondi,Corporate,35,Rift Valley,Nakuru,Nakuru,Nakuru,Grace Njeri,Facebook,Subaru,Forester,SUV,2018,hybrid,automatic,white,1,3760000,3012000,2 %,132000,null,BANK,pending,in-transit,4.7,null,YES,3816800
LC1073,null,11/8/2025,Joy Kariuki,Government,47,Central,Kiambu,Thika,Thika,Brian Otieno,Instagram,Mazda,CX5,SUV,2025,petrol,automatic,white,2,3667000,null,0.12,109000,155000,ASSET FINANCING,partially paid,completed,2.5,4,YES,6562920
LCL1074,8/10/2025,null,Aisha Chebet,Car Dealer,63,Western,Kakamega,Kakamega,Kakamega,Mary WanjiKu,Facebook,Mitsubishi,Pajero,SUV,2018,hybrid,automatic,blue,2,4801000,3814000,5%,16000,42000,CHEQUE,paid,delivered,3.9,35,NO,9137900
LCL1075,null,null,Samuel Njeri,Car Dealer,49,Western,Kakamega,Kakamega,Kakamega,Mercy Atieno,Instagram,BMW,X5,SUV,2023,diesel,manual,pearl,1,9573000,7362000,2%,155000,230000,CHEQUE,paid,at the yard,3.3,26,NO,19073080
CAR1076,11/30/2025,null,Samuel Kimani,Car Dealer,25,Nyanza,Kisumu,Kisumu,Kisumu,Daniel Kimani,Facebook,Subaru,XV,CROSSOVER,2019,petrol,automatic,red,1,2283000,1841000,null,136000,204000,BANK,paid,at the yard,4.4,26,NO,4381400
LCL1077,11/25/2025,null,James Otieno,Car Dealer,38,Central,Kiambu,Thika,Thika,Aisha Mohamed,Referral,Toyota,Corolla,Not Provided,Not Provided,petrol,automatic,Not Provided,null,1778000,1447000,0%,22000,null,ASSET FINANCING,paid,cancelled,4.8,10,NO,5360000
ORD1078,11/3/2026,null,Naomi Chebet,Government,58,Western,Kakamega,Kakamega,Kakamega,Mercy Atieno,Referral,Mercedes Benz,C200,SEDAN,2021,petrol,automatic,blue,1,4549000,4065000,10%,121000,null,M-PESA,partially paid,delayed,4.5,10,NO,4215100
ORD1079,null,null,John Muthoni,Government,46,Rift Valley,Nakuru,Nakuru,Nakuru,Kevin  Mwangi,Tender,BMW,320I,SALOON,2019,hybrid,automatic,green,1,4301000,3311000,7,86000,120000,ASSET FINANCING,paid,completed,4,29,YES,4085929
LCL1080,3/28/2025,null,Linda Mugambi,Corporate,37,Coast,Mombasa,Mombasa,Mombasa,Peter Kiptoo,Website,Honda,Vezel,CROSSOVER,2021,petrol,automatic,blue,1,2489000,1910000,10,120000,110000,CASH,paid,at the yard,2.8,38,NO,2355100
LC1081,null,null,Linda Mutua,Car Dealer,null,Coast,Mombasa,Mombasa,Mombasa,Brian Otieno,Facebook,Subaru,Outback,WAGON,2021,diesel,automatic,black,1,3505000,2967000,7%,78000,129000,CHEQUE,completed,delivered,4.4,31,YES,3337650
LCL1082,2/4/2026,null,Mary Otieno,N.G.O,52,Mt Kenya,Kiambu,Thika,Thika,Brian Otieno,Phone Call,Mitsubishi,Outlander,SUV,2021,diesel,automatic,white,5,3336000,3031000,15%,156000,209000,BANK TRANSFER,pending,delivered,3.4,11,NO,14334000
Not Provided,null,null,Faith Mohamed,Government,47,Rift Valley,Uasin Gishu,Eldoret,Eldoret,Mercy Atieno,Facebook,Mercedes Benz,C200,SEDAN,2018,petrol,automatic,pearl,1,4798000,4154000,0%,167000,244000,CASH,paid,completed,4,26,NO,4965000
CAR1084,null,4/1/2025,Aisha Achieng,Government,29,Central,Kiambu,Thika,Thika,Samuel Mutua,Phone Call,Toyota,Hiace,VAN,2019,petrol,automatic,blue,null,4332000,3484000,50%,62000,71000,CHEQUE,paid,delivered,3.5,23,NO,2230000
Not Provided,null,4/9/2026,Winnie Wafula,N.G.O,24,Westernen,Kakamega,Kakamega,Kakamega,Faith Achieng,Website,Toyota,Prado Tx,SUV,2015,petrol,automatic,pearl,2,6959000,5484000,0.12,72000,91000,ASSET FINANCING,partially paid,delivered,null,null,NO,12319840
CAR1086,1/31/2026,2/11/2026,Mary Achieng,Corporate,27,Rift Valley,Nakuru,Nakuru,Nakuru,Grace Njeri,Phone Call,Nissan,Note,HATCHBACK,2016,petrol,automatic,blue,5,1375000,1203000,5%,null,89000,BANK TRANSFER,paid,in-transit,2.5,41,YES,6595250
CAR1087,null,null,Faith Otieno,Individual,58,Rift Valley,Uasin Gishu,Eldoret,Eldoret,Mercy,Phone Call,Mitsubishi,Outlander,SUV,2019,petrol,manual,black,1,3433000,3046000,null,70000,96000,BANK TRANSFER,paid,done,2.5,24,Not Provided,3434340
LC1088,1/31/2026,null,Joy Wafula,Car Dealer,38,Coast,Mombasa,Mombasa,Mombasa,Mary WanjiKu,Instagram,Isuzu,D-Max,PICKUP,2018,diesel,automatic,white,1,null,3415000,null,39000,70000,M-PESA,paid,at the yard,3.9,6,YES,4362290
ORD1089,1/10/2026,null,Kevin Ochieng,Car Dealer,45,Western,Kakamega,Kakamega,Kakamega,Grace Njeri,Tender,Isuzu,N-Series,TRUCK,2020,diesel,automatic,pearl,3,5144000,4188000,7%,97000,113000,CHEQUE,cancelled,cancelled,3.2,12,NO,0
ORD1090,6/5/2026,null,Samuel Kiptoo,Car Dealer,25,Coast,Mombasa,Nyali,Mombasa,Peter Kiptoo,Referral,Mercedes Benz,C200,SALOON,2032,petrol,automatic,green,1,5159000,4663000,15,73000,78000,CASH,completed,delivered,2.3,43,NO,4458150
LC1091,null,12/12/2025,Winnie Achieng,Car Dealer,38,Western,Kakamega,Kakamega,Kakamega,AiSha Mohamed,Website,Subaru,Forester,SUV,2020,petrol,manual,green,1,3535000,2774000,2,142000,159000,WIRE,paid,delivered,3.5,24,NO,3966930
ORD1092,null,11/30/2025,Grace Wanjiku,Government,60,Rift Valley,Uasin Gishu,Eldoret,Eldoret,Faith Achieng,Referral,Honda,Vezel,CROSSOVER,2026,petrol,manual,red,2,2372000,1998000,0.02,153000,100000,BANK TRANSFER,paid,held,3.5,20,YES,4802120
LC1093,6/21/2025,7/21/2025,Joy Wanjiku,Individual,51,Mombasa,Mombasa,Mombasa,Mombasa,Aisha Mohamed,Whatsapp,Toyota,Prado Tx,SUV,2021,petrol,automatic,blue,1,7151000,5443000,20%,131000,164000,CASH,pending,delivered,4.5,19,YES,null
LCL1094,null,5/13/2025,Kevin Ochieng,Government,40,Nairobi,Nairobi,Nairobi,Nairobi,Faith Achieng,Walk-In,Volkswagen,Tiguan,SUV,2025,petrol,manual,green,3,47050000,3707000,10%,38000,62000,BANK TRANSFER,paid,delivered,2.7,44,NO,12741500
ORD1095,5/13/2025,5/19/2025,Linda Wanjiku,N.G.O,44,Nairobi,Nairobi,Nairobi,Nairobi,Brian Otieno,Tender,Subaru,Impreza,SALOON,2024,hybrid/petrol,automatic,pearl,1,1728000,1452000,15%,153000,175000,CHEQUE,partially paid,cancelled,3.9,6,YES,810900
